,Beat,Neighborhood,Area
0,111,clairemont mesa east,82249002.1056
1,112,clairemont mesa west,60370018.3195
2,113,bay ho,71042135.9147
3,114,north clairemont,79345849.5524
4,115,university city,212618126.985
5,116,bay park,81768530.3151
6,121,mission beach,2585137.47391
7,122,pacific beach,123283314.079
8,123,mission bay park,
9,124,la jolla,250161115.208
10,126,torrey pines,109504601.144
11,231,sabre springs,69875974.7044
12,232,carmel mountain,63485874.0713
13,233,rancho penasquitos,326010227.051
14,234,rancho bernardo,370728468.159
15,235,san pasqual,379938765.706
16,241,scripps ranch,841056937.565
17,242,mira mesa,251223906.374
18,243,miramar,343139670.976
19,245,rancho encantada,116228722.185
20,246,miramar ranch north,89602382.5973
21,311,serra mesa,113216331.396
22,312,tierrasanta,409737908.234
23,313,kearny mesa,187498517.929
24,314,birdland,21685008.6693
25,315,mission valley east,71940938.4721
26,316,qualcomm,7460318.91756
27,321,grantville,57014789.2674
28,322,allied gardens,63932925.5509
29,323,del cerro,56316472.7121
30,324,lake murray,167996011.249
31,325,san carlos,104555910.995
32,326,college west,52482912.9235
33,327,college east,25557757.7859
34,431,emerald hills,23067532.3108
35,432,valencia park,29895768.5295
36,433,encanto,42350373.46
37,434,jamacha/lomita,
38,435,broadway heights,2439070.06205
39,436,skyline,5578495.39117
40,437,bay terraces,86271853.0413
41,438,paradise hills,53471412.5836
42,439,alta vista,7702158.33843
43,441,mountain view,34780457.7649
44,442,southcrest,13353416.5646
45,443,shelltown,7161859.19614
46,444,mt. hope,
47,445,chollas view,17010130.9574
48,446,lincoln park,19780362.2831
49,447,ridgeview/webster,26471472.1678
50,451,oak park,60658015.9445
51,452,o'farrell,23526555.5613
52,511,barrio logan,52323081.0023
53,512,logan heights,27855820.9969
54,514,sherman heights,5752058.53299
55,515,grant hill,7998992.42093
56,516,stockton,10992459.5322
57,517,golden hill,15815998.901
58,518,south park,16485460.6569
59,521,east village,13358349.3642
60,522,marina,12488117.5934
61,523,gaslamp,1709960.36044
62,524,core-columbia,10060347.6859
63,525,horton plaza,1918298.26433
64,526,cortez,7062668.36553
65,527,harborview,4222267.80001
66,528,little italy,4471266.96077
67,529,park west,18082739.5217
68,531,balboa park,56724738.8007
69,541,petco park,1888958.47413
70,611,midway district,109206793.579
71,612,loma portal,18890384.762
72,613,point loma heights,53587008.3747
73,614,ocean beach,33106596.4859
74,615,roseville/fleet ridge,
75,616,la playa,16935831.9163
76,617,wooded area,80646024.9471
77,618,sunset cliffs,15494885.5445
78,621,linda vista,86501525.8215
79,622,morena,30511730.7484
80,623,mission valley west,34409970.4797
81,624,university heights,31005069.425
82,625,old town,12504702.0705
83,626,mission hills,30814615.1104
84,627,hillcrest,36694707.6494
85,628,midtown,18272697.0587
86,711,tijuana river valley,150438986.229
87,712,san ysidro,79840541.6938
88,713,otay mesa,323817150.349
89,714,border,2604871.53061
90,721,egger highlands,82824497.8558
91,722,nestor,41548348.3887
92,723,otay mesa west,92800950.3797
93,724,palm city,23930488.0222
94,725,ocean crest,81503184.1263
95,811,normal heights,15332139.288
96,812,burlingame,2862560.52698
97,813,north park,83304533.0053
98,814,adams north,21310085.4935
99,821,rolando,23456535.6514
100,822,el cerrito,16618009.7226
101,823,redwood village,12040842.617
102,824,talmadge,24823327.4417
103,825,kensington,29548115.373
104,826,colina del sol,11011872.093
105,827,chollas creek,9142679.94775
106,828,fox canyon,3798746.1581
107,829,islenair,1181429.80668
108,831,teralta east,5692403.41853
109,832,teralta west,5240803.76939
110,833,fairmount village,
111,834,castle,16033231.9356
112,835,azalea/hollywood park,9637641.3358
113,836,swan canyon,8259219.29634
114,837,fairmount park,
115,838,corridor,9212965.70157
116,839,cherokee point,9452496.27993
117,841,rolando park,15152469.5523
118,931,sorrento valley,220110947.248
119,932,torrey preserve,66360003.9412
120,933,del mar heights,60645284.3919
121,934,carmel valley,396076221.558
122,935,north city,133059393.08
123,936,torrey highlands,61406132.0799
124,937,black mountain ranch,221500143.927
