,Activity_name,Activity_price,Clean_Addresses,Lattitude,Longitude
0,"""Picture Perfect, Point, Click and Shoot""",$149.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
1,10u Summer Basketball,$25.00 (Standard charge),3170 Armstrong St San Diego,32.809774,-117.162302
2,12 & Under Baseball,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
3,12 & Under Softball,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
4,12U Baseball,$8.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
5,15 & Under Baseball,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
6,15 & Under Softball,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
7,19 & Under Futsal,Free,3911 Landis St San Diego,32.745274,-117.130981
8,A part of ART,$10.00 (Standard charge),1885 Coronado Ave San Diego,32.575635,-117.093901
9,Adult Boxfit Session I,$10.00 (Standard charge),3737 Arey Dr San Diego,32.5787533,-117.0516959
10,Adult Boxfit Session II,$10.00 (Standard charge),3737 Arey Dr San Diego,32.5787533,-117.0516959
11,Adult Boxfit Session III,$10.00 (Standard charge),3737 Arey Dr San Diego,32.5787533,-117.0516959
12,Adult Ceramics,Free,1885 Coronado Ave San Diego,32.575635,-117.093901
13,Adult Ceramics,Free,1885 Coronado Ave San Diego,32.575635,-117.093901
14,Adult Fitness,Free,4044 Idaho St San Diego,32.751318,-117.134225
15,Adult Futsal,Free(Standard charge),3020 Coronado Ave San Diego,32.57655,-117.0926837
16,Adult Karate And Self Defense,$125.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
17,Adult Karate And Self Defense,$125.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
18,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
19,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
20,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
21,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
22,Adult Karate And Self Defense,$125.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
23,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
24,Adult Karate And Self Defense,$80.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
25,Adult Pickleball - Beginners,$20.00 (Standard charge),11454 Blue Cypress Dr San Diego,32.92617,-117.077026
26,Adult Pickleball - Intermediate,$20.00 (Standard charge),11454 Blue Cypress Dr San Diego,32.92617,-117.077026
27,Adult Pottery & Clay Sculpture,$75.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
28,Adult Pottery & Clay Sculpture,$75.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
29,Adult Pottery & Clay Sculpture,$75.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
30,Adult Pottery & Clay Sculpture (1 Day a week),$38.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
31,Adult Pottery & Clay Sculpture (1 Day a week),$38.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
32,Adult Pottery & Clay Sculpture (1 Day a week),$38.00 (Standard charge),4726 Santa Monica Ave San Diego,32.745274,-117.24485
33,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
34,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
35,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
36,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
37,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
38,Adult Tennis,$80.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
39,Adult Volleyball,Free,4044 Idaho St San Diego,32.751318,-117.134225
40,Adult Volleyball,Free,2902 Marcy Ave San Diego,32.697548,-117.134758
41,Adult Volleyball Clinic,$50.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
42,Adult Volleyball Clinic,$50.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
43,Adult Volleyball Clinic,$50.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
44,Adult Volleyball Clinic,$50.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
45,Adult Yoga,Free,8285 Skyline Dr San Diego,32.705523,-117.025733
46,Advanced Dance,$20.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
47,Advanced Dance,$20.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
48,Advanced Dance,$20.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
49,Aerobic Steps,Free,4380 Landis St San Diego,32.745274,-117.130981
50,Aerobics,Free,4302 Landis St San Diego,32.745274,-117.130981
51,Aerobics,Free,4302 Landis St San Diego,32.745274,-117.130981
52,Aerobics - June,$6.00 (Standard charge),2902 Marcy Ave San Diego,32.697548,-117.134758
53,After School Activites,Free,2555 Dusk Dr San Diego,32.677082,-117.048569
54,After School Activites,Free,2555 Dusk Dr San Diego,32.677082,-117.048569
55,Aikido,$120.00 (Standard charge),3585 Governor Dr San Diego,32.8506672,-117.210113
56,Aikido,$120.00 (Standard charge),3585 Governor Dr San Diego,32.8506672,-117.210113
57,Aikido - Advanced,$120.00 (Standard charge),3585 Governor Dr San Diego,32.8506672,-117.210113
58,Aikido - Beginners,$120.00 (Standard charge),3585 Governor Dr San Diego,32.8506672,-117.210113
59,Aikido - Mixed Level,$120.00 (Standard charge),3585 Governor Dr San Diego,32.8506672,-117.210113
60,Art & Crafts,Free,6401 Skyline Dr San Diego,32.70256,-117.050018
61,Youth Basketball Clinic,$35.00 (Standard charge),615 Prospect St San Diego,32.842891,-117.277726
62,Youth Basketball League,$50.00 (Standard charge),615 Prospect St San Diego,32.842891,-117.277726
63,Youth Basketball League,$50.00 (Standard charge),615 Prospect St San Diego,32.842891,-117.277726
64,Youth Boxing,Free,4149 Newton Ave San Diego,32.699467,-117.145281
65,Youth Flag Football League 10 and Under,$55.00 (Standard charge),1008 Santa Clara Pl San Diego,32.7825653,-117.2524479
66,Youth Flag Football League 12 and Under,$55.00 (Standard charge),1008 Santa Clara Pl San Diego,32.7825653,-117.2524479
67,Youth Futsal,$12.00 (Standard charge),3020 Coronado Ave San Diego,32.57655,-117.0926837
68,Youth Soccer- 10u,$30.00 (Standard charge),3170 Armstrong St San Diego,32.809774,-117.162302
69,Youth Soccer- 12u,$30.00 (Standard charge),3170 Armstrong St San Diego,32.809774,-117.162302
70,Youth Softball Girls 13 to 15 yrs.,Free,330 32nd St San Diego,32.712765,-117.125282
71,Youth Tennis,$60.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
72,Youth Tennis,$60.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
73,Youth Tennis,$60.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
74,Youth Tennis 11-17 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
75,Youth tennis 11-17 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
76,Youth Tennis 5 - 7 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
77,Youth Tennis 5 - 7 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
78,Youth Tennis 5-7 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
79,Youth Tennis 8 - 10 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
80,Youth Tennis 8 -10 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
81,Youth Tennis 8 -10 Years,$20.00 (Standard charge),5319 Orange Ave San Diego,33.4008869,-117.5950217
82,Youth Volleyball Clinic,$50.00 (Standard charge),1405 Diamond St San Diego,32.801452,-117.244725
83,Youth Volleyball Skill Class 12 and under,$35.00 (Standard charge),4421 Bannock Ave San Diego,32.83168,-117.196927
84,Yummy Creations,Free,6401 Skyline Dr San Diego,32.70256,-117.050018
85,Yummy Creations,Free,6401 Skyline Dr San Diego,32.70256,-117.050018
86,Zumba,Free,3020 Coronado Ave San Diego,32.57655,-117.0926837
87,Zumba,Free,7064 Levant St San Diego,32.7911277,-117.1682019
88,Zumba,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
89,Zumba,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
90,Zumba,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
91,Zumba Combo,Free,1885 Coronado Ave San Diego,32.575635,-117.093901
92,Zumba Combo,Free,1885 Coronado Ave San Diego,32.575635,-117.093901
93,Volleyball 16U,$10.00 (Standard charge),455 Sycamore Rd San Diego,32.549549,-117.045174
94,Volleyball Fundamentals Camp - Session 1,$35.00 (Standard charge),5155 Greenbrier Ave San Diego,32.795506,-117.087402
95,Volleyball Fundamentals Camp - Session 2,$35.00 (Standard charge),5155 Greenbrier Ave San Diego,32.795506,-117.087402
96,Volleyball League 12 & Under,$8.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
97,Volleyball League 14 & Under,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
98,Volleyball League 14 & Under,Free(Standard charge),1035 South 45th St San Diego,32.694359,-117.096796
99,Volleyball League 14 & Under,$8.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
100,Volleyball League 16 & Under,$8.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
101,Volleyball League 16 & Under,$7.50 (Standard charge),1035 South 45th St San Diego,32.694359,-117.096796
102,Volleyball League 16 & Under,$25.00 (Standard charge),6508 Wunderlin Ave San Diego,32.714523,-117.062523
103,Volleyball U12,$10.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
104,Volleyball U14,$10.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
105,Volleyball U16,$10.00 (Standard charge),179 Diza Rd San Diego,32.56513935,-117.045796650449
106,Vovinam,Free,7064 Levant St San Diego,32.7911277,-117.1682019
107,Water Wonders Day Camp,$40.00 (Standard charge),4380 Landis St San Diego,32.745274,-117.130981
108,Weight Room,Free,7064 Levant St San Diego,32.7911277,-117.1682019
109,Weird Science,$30.00 (Standard charge),8175 Regents Rd San Diego,32.865176,-117.219751
110,Wildlife Explorers,Free,1885 Coronado Ave San Diego,32.575635,-117.093901
111,Women Basketball New Teams,$325.00 (Standard charge),4421 Bannock Ave San Diego,32.83168,-117.196927
112,Women Basketball Returning Teams,$275.00 (Standard charge),4421 Bannock Ave San Diego,32.83168,-117.196927
113,Women's Self-Defense Techniques,$25.00 (Standard charge),8810 Judicial Dr San Diego,32.8690228,-117.1990483
114,Women's Self-Defense Techniques,$25.00 (Standard charge),8810 Judicial Dr San Diego,32.8690228,-117.1990483
115,Wood Carvers,Free,1008 Santa Clara Pl San Diego,32.7825653,-117.2524479
116,Ya Zoom Cardio Conditioning -Aerobics,Free,6401 Skyline Dr San Diego,32.70256,-117.050018
117,Ya Zoom Cardio Conditioning -Aerobics,Free,6401 Skyline Dr San Diego,32.70256,-117.050018
118,Yoga,Free,12350 Black Mountain Rd San Diego,32.941875,-117.13268
119,Yoga & Meditation,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
120,Yoga & Meditation,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
121,Yoga & Meditation,$12.00 (Standard charge),641 South Boundary St San Diego,32.699065,-117.105615
122,Yoga - Gentle Yoga,$33.00 (Standard charge),11220 Clairemont Mesa Blvd San Diego,32.8318657,-117.1395283
123,Yoga For All - Monday 6:30PM,$60.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
124,Yoga For All - Monday AM,$60.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
125,Yoga For All - Thursday 6:30PM,$60.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
126,Yoga For All - Thursday PM,$80.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
127,Yoga Sport - Monday PM,$60.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
128,Yoga Sport Friday,$80.00 (Standard charge),3777 Townsgate Dr San Diego,32.9485484,-117.234079487383
