geography,population
Central Region,503845
Central San Diego,169456
Mid-City,169472
Southeastern San Diego,164917
East Region,482772
Alpine,15672
El Cajon,129950
Harbison Crest,15489
Jamul,19165
La Mesa,61282
Laguna-Pine Valley,5653
Lakeside,57417
Lemon Grove,31127
Mountain Empire,7178
Santee,52911
Spring Valley,86928
North Central Region,625333
Coastal,75670
Del Mar-Mira Mesa,168711
Elliot-Navajo,91923
Kearny Mesa,163800
Miramar,5027
Peninsula,63119
University,57083
North Coastal Region,524777
Carlsbad,121237
Oceanside,164326
Pendleton,39454
San Dieguito,96984
Vista,102776
North Inland Region,591808
Anza-Borrego Springs,3498
Escondido,170061
Fallbrook,48673
North San Diego,112537
Palomar-Julian,5517
Pauma,7067
Poway,89473
Ramona,36388
San Marcos,95452
Valley Center,23142
South Region,494561
Chula Vista,117224
Coronado,24447
National City,59631
South Bay,147225
Sweetwater,146034
