Mid-City,258
Pacific Beach,189
Kearny Mesa,153
La Jolla,150
Point Loma,132
Mira Mesa,132
Clairemont,92
Clairemont Mesa East,82
San Carlos,72
Downtown,67
North Park,62
Hillcrest,53
Tierrasanta,53
Bay Park,52
University City,49
Rancho Bernardo,48
Bay Ho,47
Serra Mesa,42
Grantville,42
Linda Vista,42
Carmel Valley,41
MIddletown,35
Allied Gardens,35
Sorrento Valley,29
Rancho Peñasquitos,28
Clairemont Mesa West,28
Mission Valley East,26
Bankers Hill,24
Mission Valley,21
Mission Bay,19
Golden Hill,19
Carmel Mountain Ranch,18
Miramar,18
Del Cerro,14
Balboa Park,14
Core-Columbia,13
Old Town,13
Mission Beach,13
Midway District,13
Encanto,13
Scripps Ranch,11
Otay Mesa West,11
Del Mar Heights,11
East Village,10
University Heights,9
South Park,9
Birdland,8
Egger Highlands,8
Cortez Hill,8
Mission Hills,8
Morena,7
North Clairemont,7
San Pasqual Valley,7
Jamacha-Lomita,7
Bay Terraces,7
Miramar Ranch North,6
Skyline,6
Mountain View,6
Mount Hope,6
Logan Heights,6
Valencia Park,5
Sabre Springs,5
Barrio Logan,5
Paradise Hills,5
Ocean Beach,5
San Ysidro,5
Shelltown,4
North City,4
Tijuana River Valley,4
Ocean View Hills,4
Southcrest,3
Torrey Highlands,3
Nestor,3
Lincoln Park,3
Point Loma Heights,3
Grant Hill,3
Stockton,2
Chollas View,2
Marina,2
La Jolla Mesa,1
Oak Park,1
Sherman Heights,1
Rancho Encantada,1
4S Ranch,1
West Dunlop Street,1
Swan Canyon,1
Loma Portal,1
Park Place Condominiums,1
Gaslamp Quarter,1
Territorio #3,1
Fairmount Village,1
Soledad South,1
